teryt;psl.r;pis.r;po.r;pgnw;psl.p;pis.p;po.p
2466;0.456;-0.298;-0.480;10.8;7.52;21.2;36.2
2467;-0.376;0.00922;-0.129;12.0;9.25;31.6;23.8
2468;0.395;-0.280;-0.409;14.1;12.3;28.7;30.4
2469;0.345;-0.171;-0.336;9.11;7.01;22.5;31.5
2470;-0.0422;-0.252;-0.471;13.0;10.7;21.7;23.4
2471;0.190;-0.321;-0.427;14.7;11.9;21.4;32.5
2472;0.854;-0.539;-0.579;13.1;10.3;22.1;28.0
2473;0.403;-0.171;-0.546;11.7;9.66;33.7;27.1
2474;0.451;-0.322;-0.361;10.7;7.81;18.0;31.4
2475;0.536;-0.461;-0.488;9.91;7.77;20.7;25.9
2476;0.731;-0.799;-0.809;16.9;10.0;19.4;28.3
2477;0.377;-0.271;-0.323;9.79;6.21;26.5;37.2
2478;0.574;-0.317;-0.392;13.5;12.1;18.1;39.9
2479;0.495;-0.160;-0.417;15.3;8.34;40.4;24.1
2601;-0.0116;-0.0698;-0.219;15.1;74.1;11.7;6.65
2602;0.128;-0.176;-0.156;19.1;63.1;20.4;7.07
2603;-0.598;0.00277;0.473;16.9;72.3;14.9;4.99
2604;0.267;-0.342;-0.287;19.3;51.1;24.1;9.91
2605;0.432;-0.284;-0.317;19.2;36.1;36.0;11.6
2606;0.219;-0.175;-0.373;19.4;66.6;15.8;8.91
2607;0.381;-0.486;-0.492;19.4;39.7;23.8;17.9
2608;0.158;-0.375;-0.379;17.4;57.5;17.5;14.3
2609;0.245;-0.284;-0.242;20.2;55.1;21.6;12.4
2610;0.539;-0.364;-0.523;17.6;28.5;26.1;29.7
2611;0.366;-0.459;-0.592;19.7;32.2;30.6;17.9
2612;-0.152;-0.113;-0.209;18.3;55.0;27.8;7.61
2613;-0.144;-0.252;-0.232;17.8;67.5;21.0;3.06
2661;0.496;-0.582;-0.552;9.16;23.0;33.4;20.1
2801;0.322;-0.475;-0.551;24.8;23.0;29.9;30.3
2802;0.208;-0.342;-0.470;21.1;49.9;15.3;17.9
2803;-0.178;0.0520;-0.313;26.6;52.0;20.2;15.1
2804;0.170;-0.0947;-0.232;24.6;34.2;17.5;31.6
2805;0.409;-0.625;-0.658;25.1;27.9;27.4;22.6
2806;0.501;-0.475;-0.541;25.2;37.9;14.6;26.8
2807;0.410;-0.285;-0.488;22.2;49.4;14.7;19.0
2808;0.384;-0.539;-0.549;24.2;42.9;13.5;25.0
2809;0.293;-0.290;-0.420;22.5;22.9;14.2;48.1
2810;0.289;-0.504;-0.446;21.0;45.6;16.5;26.6
2811;0.449;-0.658;-0.644;26.9;39.1;26.6;19.6
2812;0.207;-0.108;-0.313;22.7;64.5;16.3;12.9
2813;0.252;-0.717;-0.171;18.1;52.8;16.5;17.0
2814;-0.0540;-0.209;-0.264;22.4;44.7;14.6;21.9
2815;0.324;-0.191;-0.210;22.3;47.7;11.2;24.7
2816;0.0231;-0.529;-0.342;20.8;60.5;15.7;12.7
2817;0.287;-0.216;-0.461;21.9;54.4;17.5;16.7
2818;0.441;-0.540;-0.779;21.3;23.3;9.12;55.0
2819;0.376;-0.0404;-0.428;19.3;34.1;11.6;30.2
2861;0.448;-0.392;-0.482;14.0;15.9;28.6;33.9
2862;0.152;-0.385;-0.398;12.3;21.5;22.1;34.5
3001;0.0823;-0.0971;-0.0810;27.8;43.8;12.0;21.1
3002;0.454;-0.480;-0.0288;28.6;24.5;28.1;23.3
3003;0.453;-0.397;-0.451;25.4;20.0;28.6;18.7
3004;0.114;-0.335;-0.343;32.2;31.9;16.9;24.7
3005;0.321;-0.365;-0.439;30.3;31.8;23.7;25.7
3006;0.180;-0.0715;-0.370;23.8;48.8;11.7;11.6
3007;0.0633;-0.0187;-0.00159;23.7;49.0;19.0;11.1
3008;0.231;-0.489;-0.461;28.3;50.8;16.1;16.3
3009;0.145;-0.0729;-0.287;23.1;57.7;19.6;7.46
3010;0.396;-0.349;-0.468;32.0;31.7;22.4;18.1
3011;0.315;-0.283;-0.372;29.5;24.6;19.8;23.1
3012;-0.153;-0.284;-0.198;23.3;66.7;12.3;8.84
3013;0.235;-0.225;-0.304;30.9;27.4;15.0;25.3
3014;0.253;-0.235;-0.0814;27.2;24.4;13.7;34.6
3015;0.153;-0.338;-0.373;25.5;38.4;13.5;22.8
3016;0.330;-0.288;-0.458;25.9;32.6;13.4;23.5
3017;0.499;-0.345;-0.380;23.5;28.9;20.7;26.5
3018;0.0789;-0.349;-0.399;23.2;58.4;15.2;9.68
3019;0.617;-0.154;-0.524;24.7;23.1;19.7;26.8
3020;0.681;-0.267;-0.693;24.6;33.5;20.7;31.7
3021;0.394;-0.297;-0.541;23.6;17.0;18.2;33.1
3022;0.510;-0.482;-0.530;27.3;34.8;16.3;17.1
3023;0.499;-0.570;-0.660;30.5;37.2;21.3;14.5
3024;0.397;-0.0253;-0.123;28.7;21.5;14.2;34.4
3025;0.461;-0.312;-0.325;27.4;29.0;19.0;17.8
3026;0.503;-0.541;-0.640;26.7;31.0;17.3;25.3
3027;0.0941;-0.224;-0.278;24.0;41.4;26.4;10.7
3028;0.431;-0.159;-0.527;24.3;24.8;12.1;23.1
3029;0.426;-0.274;-0.477;26.8;36.9;13.9;27.4
3030;0.482;-0.245;-0.509;24.0;24.1;18.8;27.7
3031;0.246;-0.309;-0.458;28.7;31.8;15.3;32.0
3061;0.460;-0.539;-0.526;14.6;19.4;24.2;28.0
3062;0.407;-0.294;-0.312;14.1;9.63;23.4;27.7
3063;-0.00591;-0.0642;-0.210;14.3;9.32;18.0;24.5
3064;0.379;-0.353;-0.538;9.98;6.69;23.8;34.0
3201;0.470;-0.177;-0.120;21.5;20.5;17.9;35.9
3202;0.374;-0.236;-0.572;24.2;31.0;12.7;29.4
3203;0.413;-0.256;-0.314;26.4;26.3;18.7;30.6
3204;0.427;-0.308;-0.465;24.7;34.3;15.1;29.5
3205;0.200;-0.448;-0.397;21.0;50.0;9.31;20.5
3206;0.468;-0.558;-0.340;26.5;20.2;28.0;28.8
3207;0.304;-0.366;-0.399;22.9;33.0;14.6;27.6
3208;0.331;-0.464;-0.465;21.1;22.3;18.6;33.6
3209;0.329;-0.495;-0.402;26.0;32.8;14.6;30.2
3210;0.655;-0.400;-0.638;23.9;26.2;18.9;32.1
3211;0.424;-0.123;-0.375;17.3;10.1;21.8;31.4
3212;-0.0950;0.173;-0.246;26.2;33.6;18.6;18.5
3213;0.387;-0.207;-0.361;25.5;27.7;13.9;23.2
3214;0.378;-0.463;-0.625;22.9;25.2;19.9;27.0
3215;0.687;-0.359;-0.583;23.1;22.7;19.0;37.8
3216;0.615;-0.453;-0.449;27.9;33.1;17.1;26.7
3217;0.178;-0.437;-0.481;26.0;28.6;12.9;37.2
3218;0.689;-0.426;-0.336;29.0;38.9;19.5;26.0
3261;0.299;-0.450;-0.570;11.6;11.9;17.4;39.5
3262;0.457;-0.310;-0.463;8.82;7.52;24.6;33.6
3263;0.449;0.0414;-0.265;11.7;8.54;19.5;26.1
