"","nrk","gmina","teryt","siedziba","nawrocki","trzaskowski","lwkwk","l.wyborcow.upr","lkw","lz","frek1","lgnw","lgnw.x","lgnw.no.x","nawrocki.p","trzaskowski.p","tnr1","lgw","lwkwk2","l.wyborcow.upr2","lkw2","lz2","frek2","lgnw2","lgnw.x.2","lgnw.no.x2","nawrocki2","tnr2","trzaskowski2","nawrocki.p2","trzaskowski.p2","lgw2","rodzaj","country","latitude","longitude"
"54","226101.054","m. Gdańsk","226101","Wielkopolska 20, 80-180 Gdańsk, Polska",144,441,1213,1516,1214,54,0.800791556728232,4,1,3,11.900826446281,36.4462809917355,0.753846153846154,1210,1303,1558,1304,58,0.836970474967908,9,8,1,366,0.717374517374517,929,28.2625482625483,71.7374517374517,1295,"miejska","Poland",54.3164178,18.5891806
"55","226101.055","m. Gdańsk","226101","Emilii Hoene 6, 80-041 Gdańsk, Polska",321,754,1723,2180,1725,27,0.791284403669725,13,3,10,18.75,44.0420560747664,0.701395348837209,1712,1804,2173,1806,38,0.831109065807639,22,12,10,612,0.65695067264574,1172,34.304932735426,65.695067264574,1784,"miejska","Poland",54.3270126,18.6243258
"56","226101.056","m. Gdańsk","226101","Emilii Hoene 6, 80-041 Gdańsk, Polska",375,895,2038,2579,2038,23,0.790228770841411,5,2,3,18.4456468273487,44.023610427939,0.704724409448819,2033,2118,2574,2118,46,0.822843822843823,19,15,4,654,0.688423058599333,1445,31.1576941400667,68.8423058599333,2099,"miejska","Poland",54.3270126,18.6243258
"57","226101.057","m. Gdańsk","226101","Emilii Hoene 6, 80-041 Gdańsk, Polska",336,963,2169,2697,2169,31,0.804226918798665,6,3,3,15.5339805825243,44.5214979195562,0.741339491916859,2163,2207,2665,2207,41,0.828142589118199,22,14,8,621,0.715789473684211,1564,28.4210526315789,71.5789473684211,2185,"miejska","Poland",54.3270126,18.6243258
"58","226101.058","m. Gdańsk","226101","Rogalińska 17, 80-809 Gdańsk, Polska",214,957,2143,2569,2143,31,0.834176722460101,7,5,2,10.0187265917603,44.8033707865169,0.817250213492741,2136,2216,2575,2216,41,0.860582524271845,35,2,33,500,0.770747363594681,1681,22.9252636405319,77.0747363594681,2181,"miejska","Poland",54.3323345,18.5971278
"59","226101.059","m. Gdańsk","226101","Rogalińska 17, 80-809 Gdańsk, Polska",230,1026,2111,2595,2110,44,0.813102119460501,10,5,5,10.952380952381,48.8571428571429,0.81687898089172,2100,2222,2585,2223,79,0.859961315280464,24,10,14,510,0.768076398362892,1689,23.1923601637108,76.8076398362892,2199,"miejska","Poland",54.3323345,18.5971278
"60","226101.060","m. Gdańsk","226101","Rogalińska 17, 80-809 Gdańsk, Polska",301,751,1723,2390,1724,39,0.721338912133891,11,3,8,17.5715119673088,43.8412142440163,0.713878326996198,1713,1838,2410,1839,57,0.763070539419087,19,15,4,558,0.693406593406593,1262,30.6593406593407,69.3406593406593,1820,"miejska","Poland",54.3323345,18.5971278
"61","226101.061","m. Gdańsk","226101","Reformacka 18, 80-808 Gdańsk, Polska",417,969,2194,2976,2194,41,0.737231182795699,10,3,7,19.0934065934066,44.3681318681319,0.699134199134199,2184,2232,2933,2232,47,0.760995567678145,31,13,18,732,0.667423898228078,1469,33.2576101771922,66.7423898228078,2201,"miejska","Poland",54.3420354,18.6308752
"62","226101.062","m. Gdańsk","226101","Tytusa Chałubińskiego 13, 80-807 Gdańsk, Polska",288,496,1118,1534,1118,21,0.728813559322034,1,1,0,25.7833482542525,44.4046553267681,0.63265306122449,1117,1157,1500,1158,30,0.772,7,7,0,403,0.6498696785404,748,35.01303214596,64.98696785404,1151,"miejska","Poland",54.3400723,18.6229643
"63","226101.063","m. Gdańsk","226101","Tytusa Chałubińskiego 13, 80-807 Gdańsk, Polska",363,865,1842,2430,1844,17,0.758847736625514,0,0,0,19.6854663774403,46.9088937093276,0.704397394136808,1844,1929,2419,1931,29,0.798263745349318,15,8,7,614,0.679540709812109,1302,32.0459290187891,67.9540709812109,1916,"miejska","Poland",54.3400723,18.6229643
"64","226101.064","m. Gdańsk","226101","Tytusa Chałubińskiego 13, 80-807 Gdańsk, Polska",347,885,1918,2421,1914,21,0.790582403965304,1,0,1,18.1390486147412,46.2624150548876,0.718344155844156,1913,1996,2387,1997,31,0.83661499790532,23,9,14,600,0.696048632218845,1374,30.3951367781155,69.6048632218845,1974,"miejska","Poland",54.3400723,18.6229643
"65","226101.065","m. Gdańsk","226101","Marcina Dragana 22, 80-807 Gdańsk, Polska",375,640,1521,2004,1521,19,0.758982035928144,7,4,3,24.7688243064729,42.2721268163804,0.630541871921182,1514,1556,1980,1556,22,0.785858585858586,16,8,8,567,0.631818181818182,973,36.8181818181818,63.1818181818182,1540,"miejska","Poland",54.339885,18.6148388
"66","226101.066","m. Gdańsk","226101","Marcina Dragana 22, 80-807 Gdańsk, Polska",342,647,1443,1862,1445,13,0.776047261009667,3,1,2,23.7170596393897,44.8682385575589,0.654196157735086,1442,1503,1860,1505,22,0.809139784946237,19,13,6,540,0.636608344549125,946,36.3391655450875,63.6608344549125,1486,"miejska","Poland",54.339885,18.6148388
"67","226101.067","m. Gdańsk","226101","Marcina Dragana 2, 80-807 Gdańsk, Polska",404,617,1572,2045,1573,26,0.76919315403423,6,5,1,25.7817485641353,39.3746011486918,0.604309500489716,1567,1626,2025,1627,29,0.803456790123457,10,5,5,609,0.623376623376623,1008,37.6623376623377,62.3376623376623,1617,"miejska","Poland",54.3392862,18.6078212
"68","226101.068","m. Gdańsk","226101","Marcina Dragana 2, 80-807 Gdańsk, Polska",343,659,1537,1998,1539,30,0.77027027027027,6,1,5,22.3744292237443,42.9876060013046,0.657684630738523,1533,1589,1973,1591,41,0.806386213887481,14,6,8,537,0.659480025364616,1040,34.0519974635384,65.9480025364616,1577,"miejska","Poland",54.3392862,18.6078212
"69","226101.069","m. Gdańsk","226101","Stolema 59, 80-177 Gdańsk, Polska",137,844,1846,2208,1846,61,0.836050724637681,5,2,3,7.44160782183596,45.844649646931,0.860346585117227,1841,1959,2254,1958,87,0.868677905944987,26,18,8,384,0.801242236024845,1548,19.8757763975155,80.1242236024845,1932,"miejska","Poland",54.3435333,18.5609957
"70","226101.070","m. Gdańsk","226101","Stolema 59, 80-177 Gdańsk, Polska",209,973,2238,2652,2238,36,0.843891402714932,8,2,6,9.37219730941704,43.6322869955157,0.823181049069374,2230,2400,2726,2398,47,0.879677182685253,34,22,12,495,0.790609137055838,1869,20.9390862944162,79.0609137055838,2364,"miejska","Poland",54.3435333,18.5609957
"71","226101.071","m. Gdańsk","226101","Damroki 137, 80-177 Gdańsk, Polska",331,1043,2592,3135,2591,33,0.826475279106858,4,1,3,12.7947429454967,40.3169694626981,0.759097525473071,2587,2715,3218,2716,59,0.844002486016159,40,29,11,721,0.730568011958146,1955,26.9431988041854,73.0568011958146,2676,"miejska","Poland",54.3447686,18.559863
"72","226101.072","m. Gdańsk","226101","Damroki 137, 80-177 Gdańsk, Polska",182,688,1548,1980,1552,26,0.783838383838384,6,2,4,11.7723156532988,44.5019404915912,0.790804597701149,1546,1625,1973,1627,25,0.824632539280284,22,8,14,421,0.737694704049844,1184,26.2305295950156,73.7694704049844,1605,"miejska","Poland",54.3447686,18.559863
"73","226101.073","m. Gdańsk","226101","Lawendowe Wzgórze 5, 80-175 Gdańsk, Polska",218,867,2564,3063,2564,48,0.837087822396343,4,1,3,8.515625,33.8671875,0.799078341013825,2560,2757,3259,2757,91,0.845965019944768,28,18,10,671,0.754122389153536,2058,24.5877610846464,75.4122389153536,2729,"miejska","Poland",54.3267447,18.5677095
"74","226101.074","m. Gdańsk","226101","Lawendowe Wzgórze 5, 80-175 Gdańsk, Polska",203,717,1686,2227,1686,44,0.757072294566682,4,0,4,12.0689655172414,42.627824019025,0.779347826086957,1682,1790,2272,1791,48,0.788292253521127,15,9,6,486,0.726351351351351,1290,27.3648648648649,72.6351351351351,1776,"miejska","Poland",54.3267447,18.5677095
"75","226101.075","m. Gdańsk","226101","Lawendowe Wzgórze 5, 80-175 Gdańsk, Polska",213,875,2340,2998,2339,17,0.780186791194129,7,0,7,9.13379073756432,37.5214408233276,0.804227941176471,2332,2539,3121,2536,34,0.81256007689843,26,17,9,686,0.726693227091633,1824,27.3306772908367,72.6693227091633,2510,"miejska","Poland",54.3267447,18.5677095
